item,org,date,quantity
3959313,40022636,2014-11-01,1264
3959313,42023714,2014-11-01,4244
3959506,1617388,2014-11-01,80068
3959506,1619228,2014-11-01,27752
3959506,40022636,2014-11-01,19445
3959506,42023714,2014-11-01,43843
3959509,1617388,2014-11-01,6023
3959509,1619228,2014-11-01,3846
3959509,40022636,2014-11-01,3479
3959509,42023714,2014-11-01,4118
3959530,1617388,2014-11-01,102229
3959530,1619228,2014-11-01,51652
3959530,40022636,2014-11-01,18074
3959530,42023714,2014-11-01,81855
5160016,1617388,2014-11-01,4097
5160016,1619228,2014-11-01,1225
5160016,40022636,2014-11-01,2208
5160016,42023714,2014-11-01,4496
6609938,1617388,2014-11-01,6182
6609938,1619228,2014-11-01,5451
6609938,40022636,2014-11-01,1913
6609938,42023714,2014-11-01,5225
28065487,1617388,2014-11-01,4942
28065487,1619228,2014-11-01,3178
28065487,40022636,2014-11-01,1438
28065487,42023714,2014-11-01,4942
51472179,1617388,2014-11-01,2361
51472179,1619228,2014-11-01,630
51472179,40022636,2014-11-01,531
51472179,42023714,2014-11-01,1236
3959294,1617388,2014-12-01,9416
3959294,1619228,2014-12-01,4294
3959294,40022636,2014-12-01,3426
3959294,42023714,2014-12-01,14195
3959313,1617388,2014-12-01,2441
3959313,1619228,2014-12-01,1648
3959313,40022636,2014-12-01,1327
3959313,42023714,2014-12-01,5187
3959506,1617388,2014-12-01,92380
3959506,1619228,2014-12-01,38813
3959506,40022636,2014-12-01,21058
3959506,42023714,2014-12-01,43676
3959509,1617388,2014-12-01,9239
3959509,1619228,2014-12-01,2969
3959509,40022636,2014-12-01,3119
3959509,42023714,2014-12-01,5240
3959530,1617388,2014-12-01,122117
3959530,1619228,2014-12-01,107217
3959530,40022636,2014-12-01,21104
3959530,42023714,2014-12-01,110750
5160016,1617388,2014-12-01,0
5160016,1619228,2014-12-01,1322
5160016,40022636,2014-12-01,1600
5160016,42023714,2014-12-01,2199
6609938,1617388,2014-12-01,9179
6609938,1619228,2014-12-01,5055
6609938,40022636,2014-12-01,3908
6609938,42023714,2014-12-01,5725
28065487,1617388,2014-12-01,6657
28065487,1619228,2014-12-01,4036
28065487,40022636,2014-12-01,1737
28065487,42023714,2014-12-01,6655
51472179,1617388,2014-12-01,2740
51472179,1619228,2014-12-01,1340
51472179,40022636,2014-12-01,489
51472179,42023714,2014-12-01,1442
3959294,1617388,2015-01-01,5211
3959294,1619228,2015-01-01,2453
3959294,40022636,2015-01-01,2902
3959294,42023714,2015-01-01,9778
3959313,1617388,2015-01-01,1701
3959313,1619228,2015-01-01,1189
3959313,40022636,2015-01-01,921
3959313,42023714,2015-01-01,3236
3959506,1617388,2015-01-01,15722
3959506,1619228,2015-01-01,27868
3959506,40022636,2015-01-01,14954
3959506,42023714,2015-01-01,35451
3959509,1617388,2015-01-01,4791
3959509,1619228,2015-01-01,3462
3959509,40022636,2015-01-01,3873
3959509,42023714,2015-01-01,6394
3959530,1617388,2015-01-01,48972
3959530,1619228,2015-01-01,55754
3959530,40022636,2015-01-01,13289
3959530,42023714,2015-01-01,64077
5160016,1617388,2015-01-01,0
5160016,1619228,2015-01-01,104
5160016,40022636,2015-01-01,40
5160016,42023714,2015-01-01,0
6609938,1617388,2015-01-01,5870
6609938,1619228,2015-01-01,6475
6609938,40022636,2015-01-01,1965
6609938,42023714,2015-01-01,4591
28065487,1617388,2015-01-01,3279
28065487,1619228,2015-01-01,2813
28065487,40022636,2015-01-01,1433
28065487,42023714,2015-01-01,4722
51472179,1617388,2015-01-01,1649
51472179,1619228,2015-01-01,517
51472179,40022636,2015-01-01,186
51472179,42023714,2015-01-01,914
3959294,1617388,2015-02-01,8658
3959294,1619228,2015-02-01,4621
3959294,40022636,2015-02-01,4038
3959294,42023714,2015-02-01,13541
3959313,1617388,2015-02-01,2480
3959313,1619228,2015-02-01,2438
3959313,40022636,2015-02-01,1115
3959313,42023714,2015-02-01,4996
3959506,1617388,2015-02-01,54420
3959506,1619228,2015-02-01,21026
3959506,40022636,2015-02-01,14124
3959506,42023714,2015-02-01,23018
3959509,1617388,2015-02-01,4159
3959509,1619228,2015-02-01,3360
3959509,40022636,2015-02-01,3269
3959509,42023714,2015-02-01,4835
3959530,1617388,2015-02-01,63015
3959530,1619228,2015-02-01,44023
3959530,40022636,2015-02-01,13718
3959530,42023714,2015-02-01,65181
5160016,1617388,2015-02-01,0
5160016,1619228,2015-02-01,0
5160016,40022636,2015-02-01,60
5160016,42023714,2015-02-01,0
6609938,1617388,2015-02-01,5577
6609938,1619228,2015-02-01,6304
6609938,40022636,2015-02-01,1989
6609938,42023714,2015-02-01,4264
28065487,1617388,2015-02-01,3244
28065487,1619228,2015-02-01,3685
28065487,40022636,2015-02-01,1735
28065487,42023714,2015-02-01,5265
51472179,1617388,2015-02-01,1953
51472179,1619228,2015-02-01,1023
51472179,40022636,2015-02-01,422
51472179,42023714,2015-02-01,2273
3959294,1617388,2015-03-01,8518
3959294,1619228,2015-03-01,3980
3959294,40022636,2015-03-01,3601
3959294,42023714,2015-03-01,12686
3959313,1617388,2015-03-01,2478
3959313,1619228,2015-03-01,1985
3959313,40022636,2015-03-01,1078
3959313,42023714,2015-03-01,4427
3959506,1617388,2015-03-01,18949
3959506,1619228,2015-03-01,15121
3959506,40022636,2015-03-01,15641
3959506,42023714,2015-03-01,22690
3959509,1617388,2015-03-01,5833
3959509,1619228,2015-03-01,2641
3959509,40022636,2015-03-01,5603
3959509,42023714,2015-03-01,4496
3959530,1617388,2015-03-01,65949
3959530,1619228,2015-03-01,49571
3959530,40022636,2015-03-01,17378
3959530,42023714,2015-03-01,65550
5160016,1617388,2015-03-01,0
5160016,1619228,2015-03-01,16
5160016,40022636,2015-03-01,7
5160016,42023714,2015-03-01,42
6609938,1617388,2015-03-01,6580
6609938,1619228,2015-03-01,5513
6609938,40022636,2015-03-01,2851
6609938,42023714,2015-03-01,6805
28065487,1617388,2015-03-01,3909
28065487,1619228,2015-03-01,2552
28065487,40022636,2015-03-01,1977
28065487,42023714,2015-03-01,6008
51472179,1617388,2015-03-01,4130
51472179,1619228,2015-03-01,1817
51472179,40022636,2015-03-01,698
51472179,42023714,2015-03-01,2961
60715830,1617388,2015-03-01,850
60715830,1619228,2015-03-01,93
60715830,42023714,2015-03-01,1476
3959294,1617388,2015-04-01,7846
3959294,1619228,2015-04-01,3963
3959294,40022636,2015-04-01,2873
3959294,42023714,2015-04-01,15030
3959313,1617388,2015-04-01,2200
3959313,1619228,2015-04-01,1908
3959313,40022636,2015-04-01,967
3959313,42023714,2015-04-01,5205
3959506,1617388,2015-04-01,75180
3959506,1619228,2015-04-01,32574
3959506,40022636,2015-04-01,18766
3959506,42023714,2015-04-01,39163
3959509,1617388,2015-04-01,10133
3959509,1619228,2015-04-01,4860
3959509,40022636,2015-04-01,5000
3959509,42023714,2015-04-01,7206
3959530,1617388,2015-04-01,71444
3959530,1619228,2015-04-01,42496
3959530,40022636,2015-04-01,16872
3959530,42023714,2015-04-01,71589
5160016,1617388,2015-04-01,1510
5160016,1619228,2015-04-01,498
5160016,40022636,2015-04-01,46
5160016,42023714,2015-04-01,606
6609938,1617388,2015-04-01,9442
6609938,1619228,2015-04-01,7920
6609938,40022636,2015-04-01,2272
6609938,42023714,2015-04-01,6220
28065487,1617388,2015-04-01,8332
28065487,1619228,2015-04-01,6056
28065487,40022636,2015-04-01,2772
28065487,42023714,2015-04-01,6779
51472179,1617388,2015-04-01,1916
51472179,1619228,2015-04-01,765
51472179,40022636,2015-04-01,467
51472179,42023714,2015-04-01,1631
60715830,1617388,2015-04-01,2700
60715830,1619228,2015-04-01,1934
60715830,40022636,2015-04-01,958
60715830,42023714,2015-04-01,1653
62793347,1617388,2015-04-01,1682
62793347,1619228,2015-04-01,6894
62793347,40022636,2015-04-01,1391
62793347,42023714,2015-04-01,3801
62922352,1619228,2015-04-01,36
62922352,40022636,2015-04-01,138
62922352,42023714,2015-04-01,91
3959294,1617388,2015-05-01,7223
3959294,1619228,2015-05-01,3028
3959294,40022636,2015-05-01,2857
3959294,42023714,2015-05-01,10662
3959313,1617388,2015-05-01,1953
3959313,1619228,2015-05-01,1305
3959313,40022636,2015-05-01,1105
3959313,42023714,2015-05-01,3797
3959506,1617388,2015-05-01,43300
3959506,1619228,2015-05-01,26406
3959506,40022636,2015-05-01,17493
3959506,42023714,2015-05-01,36300
3959509,1617388,2015-05-01,10332
3959509,1619228,2015-05-01,4053
3959509,40022636,2015-05-01,4441
3959509,42023714,2015-05-01,5535
3959530,1617388,2015-05-01,70921
3959530,1619228,2015-05-01,62823
3959530,40022636,2015-05-01,15468
3959530,42023714,2015-05-01,55560
5160016,1617388,2015-05-01,1264
5160016,1619228,2015-05-01,176
5160016,40022636,2015-05-01,1300
5160016,42023714,2015-05-01,2839
6609938,1617388,2015-05-01,6338
6609938,1619228,2015-05-01,4743
6609938,40022636,2015-05-01,1589
6609938,42023714,2015-05-01,5822
28065487,1617388,2015-05-01,9038
28065487,1619228,2015-05-01,4593
28065487,40022636,2015-05-01,1635
28065487,42023714,2015-05-01,8965
51472179,1617388,2015-05-01,2868
51472179,1619228,2015-05-01,818
51472179,40022636,2015-05-01,361
51472179,42023714,2015-05-01,1619
60715830,1617388,2015-05-01,2278
60715830,1619228,2015-05-01,1390
60715830,40022636,2015-05-01,1181
60715830,42023714,2015-05-01,2892
62793347,1617388,2015-05-01,566
62793347,1619228,2015-05-01,6603
62793347,40022636,2015-05-01,290
62793347,42023714,2015-05-01,3461
62922352,1617388,2015-05-01,1428
62922352,1619228,2015-05-01,263
62922352,40022636,2015-05-01,495
62922352,42023714,2015-05-01,1574
3959294,1617388,2015-06-01,8434
3959294,1619228,2015-06-01,3712
3959294,40022636,2015-06-01,2712
3959294,42023714,2015-06-01,12006
3959313,1617388,2015-06-01,2378
3959313,1619228,2015-06-01,1674
3959313,40022636,2015-06-01,913
3959313,42023714,2015-06-01,3933
3959506,1617388,2015-06-01,34323
3959506,1619228,2015-06-01,23827
3959506,40022636,2015-06-01,24718
3959506,42023714,2015-06-01,45430
3959509,1617388,2015-06-01,7071
3959509,1619228,2015-06-01,3655
3959509,40022636,2015-06-01,5519
3959509,42023714,2015-06-01,5792
3959530,1617388,2015-06-01,62221
3959530,1619228,2015-06-01,52076
3959530,40022636,2015-06-01,16488
3959530,42023714,2015-06-01,64875
5160016,1617388,2015-06-01,1904
5160016,1619228,2015-06-01,1798
5160016,40022636,2015-06-01,1520
5160016,42023714,2015-06-01,3034
6609938,1617388,2015-06-01,5323
6609938,1619228,2015-06-01,4352
6609938,40022636,2015-06-01,1788
6609938,42023714,2015-06-01,4224
28065487,1617388,2015-06-01,7175
28065487,1619228,2015-06-01,4757
28065487,40022636,2015-06-01,2852
28065487,42023714,2015-06-01,8354
51472179,1617388,2015-06-01,3586
51472179,1619228,2015-06-01,1048
51472179,40022636,2015-06-01,614
51472179,42023714,2015-06-01,1820
60715830,1617388,2015-06-01,1700
60715830,1619228,2015-06-01,1587
60715830,40022636,2015-06-01,751
60715830,42023714,2015-06-01,2489
62793347,1617388,2015-06-01,0
62793347,1619228,2015-06-01,0
62793347,40022636,2015-06-01,0
62793347,42023714,2015-06-01,0
62922352,1617388,2015-06-01,2007
62922352,1619228,2015-06-01,660
62922352,40022636,2015-06-01,372
62922352,42023714,2015-06-01,958
3959294,1617388,2015-07-01,8196
3959294,1619228,2015-07-01,3888
3959294,40022636,2015-07-01,2461
3959294,42023714,2015-07-01,8479
3959313,1617388,2015-07-01,2807
3959313,1619228,2015-07-01,1957
3959313,40022636,2015-07-01,1431
3959313,42023714,2015-07-01,4593
3959506,1617388,2015-07-01,91798
3959506,1619228,2015-07-01,25689
3959506,40022636,2015-07-01,21343
3959506,42023714,2015-07-01,39132
3959509,1617388,2015-07-01,11117
3959509,1619228,2015-07-01,4673
3959509,40022636,2015-07-01,4700
3959509,42023714,2015-07-01,6564
3959530,1617388,2015-07-01,39381
3959530,1619228,2015-07-01,52238
3959530,40022636,2015-07-01,16176
3959530,42023714,2015-07-01,73260
5160016,1617388,2015-07-01,1040
5160016,1619228,2015-07-01,0
5160016,40022636,2015-07-01,0
5160016,42023714,2015-07-01,16
6609938,1617388,2015-07-01,7903
6609938,1619228,2015-07-01,7639
6609938,40022636,2015-07-01,2832
6609938,42023714,2015-07-01,7838
28065487,1617388,2015-07-01,8088
28065487,1619228,2015-07-01,4948
28065487,40022636,2015-07-01,2700
28065487,42023714,2015-07-01,10278
51472179,1617388,2015-07-01,2820
51472179,1619228,2015-07-01,1380
51472179,40022636,2015-07-01,661
51472179,42023714,2015-07-01,2339
60715830,1617388,2015-07-01,2133
60715830,1619228,2015-07-01,2158
60715830,40022636,2015-07-01,934
60715830,42023714,2015-07-01,3432
62793347,1617388,2015-07-01,0
62793347,1619228,2015-07-01,0
62793347,40022636,2015-07-01,0
62793347,42023714,2015-07-01,0
62922352,1617388,2015-07-01,2006
62922352,1619228,2015-07-01,1212
62922352,40022636,2015-07-01,910
62922352,42023714,2015-07-01,1966
3959294,1617388,2015-08-01,10089
3959294,1619228,2015-08-01,3710
3959294,40022636,2015-08-01,3363
3959294,42023714,2015-08-01,12399
3959313,1617388,2015-08-01,3373
3959313,1619228,2015-08-01,1744
3959313,40022636,2015-08-01,1858
3959313,42023714,2015-08-01,6353
3959506,1617388,2015-08-01,23583
3959506,1619228,2015-08-01,45694
3959506,40022636,2015-08-01,15324
3959506,42023714,2015-08-01,20801
3959509,1617388,2015-08-01,5963
3959509,1619228,2015-08-01,3282
3959509,40022636,2015-08-01,4768
3959509,42023714,2015-08-01,3864
3959530,1617388,2015-08-01,97359
3959530,1619228,2015-08-01,65453
3959530,40022636,2015-08-01,20419
3959530,42023714,2015-08-01,76320
5160016,1617388,2015-08-01,0
5160016,1619228,2015-08-01,0
5160016,40022636,2015-08-01,0
5160016,42023714,2015-08-01,0
6609938,1617388,2015-08-01,6661
6609938,1619228,2015-08-01,3447
6609938,40022636,2015-08-01,2383
6609938,42023714,2015-08-01,5261
28065487,1617388,2015-08-01,4614
28065487,1619228,2015-08-01,3346
28065487,40022636,2015-08-01,2233
28065487,42023714,2015-08-01,4711
51472179,1617388,2015-08-01,3572
51472179,1619228,2015-08-01,720
51472179,40022636,2015-08-01,656
51472179,42023714,2015-08-01,2445
60715830,1617388,2015-08-01,2533
60715830,1619228,2015-08-01,1516
60715830,40022636,2015-08-01,1138
60715830,42023714,2015-08-01,3353
62793347,1617388,2015-08-01,0
62793347,1619228,2015-08-01,0
62793347,40022636,2015-08-01,0
62793347,42023714,2015-08-01,0
62922352,1617388,2015-08-01,1834
62922352,1619228,2015-08-01,564
62922352,40022636,2015-08-01,578
62922352,42023714,2015-08-01,1924
3959294,1617388,2015-09-01,9636
3959294,1619228,2015-09-01,6210
3959294,40022636,2015-09-01,2727
3959294,42023714,2015-09-01,10395
3959313,1617388,2015-09-01,2858
3959313,1619228,2015-09-01,2071
3959313,40022636,2015-09-01,1394
3959313,42023714,2015-09-01,5021
3959506,1617388,2015-09-01,34515
3959506,1619228,2015-09-01,12744
3959506,40022636,2015-09-01,14635
